a'	/ˈa/
abandona	/abandˈona/
abandonai	/abandonˈai/
abandonammo	/abandonˈammo/
abandonando	/abandonˈando/
abandonare	/abandonˈare/
abandonaste	/abandonˈaste/
abandonata	/abandonˈata/
abandonate	/abandonˈate/
abandonati	/abandonˈati/
abandonato	/abandonˈato/
abandonava	/abandonˈava/
abandonino	/abandˈonino/
abastanza	/abastˈantsa/
abate	/abˈate/
abbaglia	/abbˈaʎʎa/
abbagliamento	/abbaʎʎamˈento/
abbaia	/abbˈaja/
abbaiano	/abbˈajano/
abbaiavano	/abbajˈavano/
abbaino	/abbaˈino/
abbandonata	/abbandonˈata/
abbandonati	/abbandonˈati/
abbandonato	/abbandonˈato/
abbassare	/abbassˈare/
abbattuta	/abbattˈuta/
abbattuti	/abbattˈuti/
abbattutissimo	/abbattutˈissimo/
abbattuto	/abbattˈuto/
abbellimenti	/abbellimˈenti/
abbi	/ˈabbi/
abbia	/ˈabbja/
abbiamo	/abbjˈamo/
abbiano	/ˈabbjano/
abbiate	/abbjˈate/
abbisogna	/abbizˈoɲɲa/
abboccamento	/abbokkamˈento/
abbondevolmente	/abbondevolmˈente/
abbraccia	/abbrˈatʃtʃa/
abbracci	/abbrˈatʃtʃi/
abbracciare	/abbratʃtʃˈare/
abbracciati	/abbratʃtʃˈati/
abbracciò	/abbratʃtʃˈɔ/
abitanti	/abitˈanti/
abitare	/abitˈare/
abitazione	/abitatstsjˈone/
abiti	/ˈabiti/
abito	/ˈabito/
abnegazione	/abneɡatstsjˈone/
accaduto	/akkadˈuto/
accampando	/akkampˈando/
accampare	/akkampˈare/
accanto	/akkˈanto/
accasciamento	/akkaʃʃamˈento/
accendere	/atʃtʃˈɛndere/
accennò	/atʃtʃennˈɔ/
accenti	/atʃtʃˈɛnti/
accento	/atʃtʃˈɛnto/
accesa	/atʃtʃˈesa/
accese	/atʃtʃˈese/
accesi	/atʃtʃˈesi/
acceso	/atʃtʃˈeso/
accidente	/atʃtʃidˈɛnte/
accidenti	/atʃtʃidˈɛnti/
accompagnarmi	/akkompaɲɲˈarmi/
accompagnata	/akkompaɲɲˈata/
accompagnate	/akkompaɲɲˈate/
accompagnati	/akkompaɲɲˈati/
accompagnato	/akkompaɲɲˈato/
acconcia	/akkˈontʃa/
acconci	/akkˈontʃi/
acconciamente	/akkontʃamˈente/
acconciare	/akkontʃˈare/
acconcio	/akkˈontʃo/
accorge	/akkˈɔrdʒe/
accorgendo	/akkordʒˈɛndo/
accorta	/akkˈɔrta/
accorti	/akkˈɔrti/
accorto	/akkˈɔrto/
accresce	/akkrˈeʃʃe/
accrescere	/akkrˈeʃʃere/
accrescimento	/akkreʃʃimˈento/
accusa	/akkˈuza/
accusato	/akkuzˈato/
acerba	/atʃˈɛrba/
achille	/akˈille/
aci	/ˈatʃi/
acqua	/ˈakkwa/
acque	/ˈakkwe/
acquistare	/akkwistˈare/
acquistasse	/akkwistˈasse/
acquistata	/akkwistˈata/
acquistato	/akkwistˈato/
acquistò	/akkwistˈɔ/
acuta	/akˈuta/
acuto	/akˈuto/
ad	/ˈad/
adamo	/adˈamo/
addietro	/addjˈɛtro/
addio	/addˈio/
addivenne	/addivˈenne/
addormentare	/addormentˈare/
addormentato	/addormentˈato/
addosso	/addˈɔsso/
adempiere	/adˈempjere/
adesso	/adˈɛsso/
adirato	/adirˈato/
adito	/adˈito/
adone	/adˈone/
adopera	/adˈɔpera/
adoperare	/adoperˈare/
adoperata	/adoperˈata/
adoperato	/adoperˈato/
adoperò	/adoperˈɔ/
adorata	/adorˈata/
adorato	/adorˈato/
adorna	/adˈorna/
adornamento	/adornamˈento/
adorno	/adˈorno/
adosso	/adˈɔsso/
adriano	/adrjˈano/
adulterio	/adultˈɛrjo/
adunati	/adunˈati/
adunque	/adˈuŋkwe/
affabile	/affˈabile/
affabilissimamente	/affabilissimamˈente/
affannare	/affannˈare/
affannato	/affannˈato/
affanni	/affˈanni/
affanno	/affˈanno/
affare	/affˈare/
affari	/affˈari/
affaticato	/affatikˈato/
affatto	/affˈatto/
afferma	/affˈerma/
affermando	/affermˈando/
affermano	/affˈermano/
affermare	/affermˈare/
affermava	/affermˈava/
